N_unmapped	2445299	2445299	2445299
N_multimapping	6013786	6013786	6013786
N_noFeature	2991159	41044757	3109094
N_ambiguous	1618079	49335	586734
ENSMUSG00000102693	0	0	0
ENSMUSG00000064842	0	0	0
ENSMUSG00000051951	0	0	0
ENSMUSG00000102851	0	0	0
ENSMUSG00000103377	0	0	0
ENSMUSG00000104017	0	0	0
ENSMUSG00000103025	0	0	0
ENSMUSG00000089699	0	0	0
ENSMUSG00000103201	0	0	0
ENSMUSG00000103147	1	0	1
ENSMUSG00000103161	0	0	0
ENSMUSG00000102331	0	0	0
ENSMUSG00000102348	0	0	0
ENSMUSG00000102592	0	0	0
ENSMUSG00000088333	0	0	0
ENSMUSG00000102343	0	0	0
ENSMUSG00000102948	0	0	0
ENSMUSG00000025900	0	0	0
ENSMUSG00000104123	0	0	0
ENSMUSG00000025902	0	0	0
ENSMUSG00000104238	0	0	0
ENSMUSG00000102269	3	0	3
ENSMUSG00000096126	0	0	0
ENSMUSG00000103003	0	0	0
ENSMUSG00000104328	0	0	0
ENSMUSG00000102735	0	0	0
ENSMUSG00000098104	68	0	68
ENSMUSG00000102175	0	0	0
ENSMUSG00000088000	0	0	0
ENSMUSG00000103265	0	0	0
ENSMUSG00000103922	19	1	18
ENSMUSG00000033845	4077	6	4074
ENSMUSG00000102275	3	0	3
ENSMUSG00000025903	1677	0	1677
ENSMUSG00000104217	0	0	0
ENSMUSG00000033813	4307	9	4301
ENSMUSG00000062588	11	0	11
ENSMUSG00000103280	1	1	0
ENSMUSG00000002459	0	0	0
ENSMUSG00000091305	0	0	0
ENSMUSG00000102653	0	0	0
ENSMUSG00000085623	0	0	0
ENSMUSG00000091665	0	0	0
ENSMUSG00000033793	7405	2	7403
ENSMUSG00000104352	0	0	0
ENSMUSG00000104046	0	0	0
ENSMUSG00000102907	0	0	0
ENSMUSG00000025905	0	0	0
ENSMUSG00000103936	0	0	0
ENSMUSG00000093015	0	0	0
ENSMUSG00000103519	0	0	0
ENSMUSG00000033774	0	0	0
ENSMUSG00000103090	0	0	0
ENSMUSG00000025907	1980	5	2019
ENSMUSG00000090031	14	45	13
ENSMUSG00000087247	0	0	0
ENSMUSG00000103355	0	0	0
ENSMUSG00000102706	0	0	0
ENSMUSG00000103845	3	0	3
ENSMUSG00000033740	0	0	0
ENSMUSG00000103329	0	0	0
ENSMUSG00000104385	0	0	0
ENSMUSG00000102135	26	0	26
ENSMUSG00000103282	0	0	0
ENSMUSG00000102534	0	0	0
ENSMUSG00000102213	0	0	0
ENSMUSG00000103629	0	0	0
ENSMUSG00000051285	2004	4	2000
ENSMUSG00000098201	2	0	2
ENSMUSG00000103509	10	0	10
ENSMUSG00000048538	9	0	9
ENSMUSG00000103709	1	0	1
ENSMUSG00000077244	0	0	0
ENSMUSG00000102768	0	0	0
ENSMUSG00000097797	4	0	4
ENSMUSG00000103498	0	0	0
ENSMUSG00000103067	0	0	0
ENSMUSG00000102320	0	0	0
ENSMUSG00000104226	1	0	1
ENSMUSG00000103903	3	0	3
ENSMUSG00000103557	0	0	0
ENSMUSG00000025909	1	0	1
ENSMUSG00000102647	0	0	0
ENSMUSG00000086235	2	0	2
ENSMUSG00000102253	0	0	0
ENSMUSG00000093970	0	0	0
ENSMUSG00000103884	0	0	0
ENSMUSG00000084353	11	0	11
ENSMUSG00000103933	25	0	25
ENSMUSG00000076135	1	0	1
ENSMUSG00000086195	0	0	0
ENSMUSG00000104504	0	0	0
ENSMUSG00000066693	0	0	0
ENSMUSG00000102316	0	0	0
ENSMUSG00000103819	0	0	0
ENSMUSG00000102871	0	0	0
ENSMUSG00000101571	5	0	5
ENSMUSG00000104428	0	0	0
ENSMUSG00000102272	2	0	2
ENSMUSG00000065625	0	0	0
ENSMUSG00000103411	0	0	0
ENSMUSG00000061024	4774	27	4747
ENSMUSG00000025911	1940	17	2217
ENSMUSG00000079671	77	296	91
ENSMUSG00000081441	4	1	3
ENSMUSG00000067879	11	25	2
ENSMUSG00000099827	0	0	0
ENSMUSG00000025912	303	1	302
ENSMUSG00000045210	2429	6	2617
ENSMUSG00000097893	9	193	10
ENSMUSG00000025915	1386	0	1386
ENSMUSG00000046334	12	0	12
ENSMUSG00000088916	0	0	0
ENSMUSG00000046101	1	249	0
ENSMUSG00000098234	2097	3	2342
ENSMUSG00000093178	11	0	11
ENSMUSG00000099032	12	0	15
ENSMUSG00000104025	0	3	0
ENSMUSG00000025916	1	0	1
ENSMUSG00000087199	0	0	0
ENSMUSG00000095780	0	0	0
ENSMUSG00000025917	4108	6	4124
ENSMUSG00000056763	772	23	771
ENSMUSG00000102356	0	0	0
ENSMUSG00000067851	6809	6	6803
ENSMUSG00000088153	2	2	0
ENSMUSG00000102556	0	0	0
ENSMUSG00000042501	0	0	0
ENSMUSG00000103810	0	0	0
ENSMUSG00000083422	4	0	4
ENSMUSG00000094979	0	0	0
ENSMUSG00000081417	0	0	0
ENSMUSG00000103448	2	2	0
